Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,ha,result
50,158.0,118.0,6.0,0.0,42.37,4.0,caught,1.0,v England,Kolkata,1,1
9*,17.0,19.0,2.0,0.0,47.36,4.0,not out,4.0,v England,Kolkata,1,1
165,361.0,296.0,24.0,1.0,55.74,4.0,caught,1.0,v England,Chennai,1,1
78,285.0,213.0,10.0,0.0,36.61,4.0,lbw,2.0,v England,Mumbai,1,1
62,128.0,114.0,7.0,0.0,54.38,4.0,caught,1.0,v Zimbabwe,Delhi,1,1
142,260.0,224.0,22.0,0.0,63.39,4.0,caught,1.0,v Sri Lanka,Lucknow,1,1
96,180.0,140.0,15.0,0.0,68.57,4.0,bowled,1.0,v Sri Lanka,Bangalore,1,1
6,25.0,14.0,1.0,0.0,42.85,4.0,bowled,2.0,v Sri Lanka,Ahmedabad,1,1
34,70.0,43.0,7.0,0.0,79.06,4.0,lbw,1.0,v West Indies,Mumbai,1,1
85,178.0,130.0,10.0,1.0,65.38,5.0,caught,3.0,v West Indies,Mumbai,1,1
4,7.0,4.0,1.0,0.0,100.0,4.0,caught,2.0,v New Zealand,Bangalore,1,1
10,12.0,11.0,2.0,0.0,90.9,4.0,caught,2.0,v Australia,Delhi,1,1
0,6.0,7.0,0.0,0.0,0.0,4.0,bowled,4.0,v Australia,Delhi,1,1
42,80.0,64.0,7.0,0.0,65.62,4.0,caught,1.0,v South Africa,Ahmedabad,1,1
7,43.0,33.0,1.0,0.0,21.21,4.0,caught,3.0,v South Africa,Ahmedabad,1,1
61,211.0,173.0,4.0,1.0,35.26,4.0,caught,1.0,v South Africa,Kanpur,1,1
36,129.0,98.0,4.0,0.0,36.73,5.0,caught,3.0,v South Africa,Kanpur,1,1
4,7.0,5.0,1.0,0.0,80.0,4.0,caught,1.0,v Australia,Chennai,1,1
155*,286.0,191.0,14.0,4.0,81.15,4.0,not out,3.0,v Australia,Chennai,1,1
79,109.0,86.0,12.0,2.0,91.86,4.0,caught,2.0,v Australia,Kolkata,1,1
6,13.0,11.0,1.0,0.0,54.54,4.0,lbw,1.0,v Pakistan,Delhi,1,1
29,99.0,65.0,4.0,0.0,44.61,4.0,caught,3.0,v Pakistan,Delhi,1,1
15,76.0,54.0,3.0,0.0,27.77,4.0,caught,2.0,v New Zealand,Kanpur,1,1
44*,58.0,39.0,8.0,0.0,112.82,4.0,not out,4.0,v New Zealand,Kanpur,1,1
122,283.0,233.0,19.0,0.0,52.36,4.0,caught,2.0,v Zimbabwe,Delhi,1,1
39,45.0,39.0,8.0,0.0,100.0,4.0,caught,4.0,v Zimbabwe,Delhi,1,1
10,25.0,18.0,2.0,0.0,55.55,4.0,lbw,2.0,v Australia,Kolkata,1,1
10,26.0,23.0,2.0,0.0,43.47,4.0,caught,3.0,v Australia,Kolkata,1,1
126,346.0,230.0,15.0,2.0,54.78,4.0,caught,2.0,v Australia,Chennai,1,1
17,27.0,17.0,3.0,0.0,100.0,4.0,caught,4.0,v Australia,Chennai,1,1
88,229.0,144.0,13.0,0.0,61.11,5.0,caught,2.0,v England,Mohali,1,1
176,440.0,316.0,23.0,0.0,55.69,4.0,caught,2.0,v Zimbabwe,Nagpur,1,1
36,124.0,119.0,5.0,0.0,30.25,4.0,lbw,2.0,v Zimbabwe,Delhi,1,1
42,78.0,52.0,7.0,1.0,80.76,5.0,lbw,4.0,v Zimbabwe,Delhi,1,1
35,96.0,88.0,5.0,0.0,39.77,4.0,caught,1.0,v West Indies,Mumbai,1,1
43,156.0,113.0,5.0,0.0,38.05,4.0,bowled,2.0,v West Indies,Chennai,1,1
16*,15.0,20.0,0.0,0.0,80.0,4.0,not out,4.0,v West Indies,Chennai,1,1
5,43.0,35.0,0.0,0.0,14.28,4.0,caught,1.0,v Australia,Mumbai,1,1
55,120.0,83.0,6.0,1.0,66.26,4.0,caught,3.0,v Australia,Mumbai,1,1
20,82.0,54.0,3.0,0.0,37.03,4.0,bowled,2.0,v South Africa,Kolkata,1,1
32*,73.0,64.0,3.0,1.0,50.0,4.0,not out,4.0,v South Africa,Kolkata,1,1
52,147.0,102.0,9.0,0.0,50.98,4.0,caught,1.0,v Pakistan,Kolkata,1,1
52,117.0,91.0,9.0,0.0,57.14,4.0,caught,3.0,v Pakistan,Kolkata,1,1
109,310.0,196.0,14.0,1.0,55.61,4.0,lbw,1.0,v Sri Lanka,Delhi,1,1
