Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,ha,result
11,92,NaN,NaN,0,NaN,6,lbw,1,v Sri Lanka,Chandigarh,1,1
50,158,118,6,0,42.37,4,caught,1,v England,Kolkata,1,1
9*,17,19,2,0,47.36,4,not out,4,v England,Kolkata,1,1
165,361,296,24,1,55.74,4,caught,1,v England,Chennai,1,1
78,285,213,10,0,36.61,4,lbw,2,v England,Mumbai,1,1
62,128,114,7,0,54.38,4,caught,1,v Zimbabwe,Delhi,1,1
142,260,224,22,0,63.39,4,caught,1,v Sri Lanka,Lucknow,1,1
96,180,140,15,0,68.57,4,bowled,1,v Sri Lanka,Bangalore,1,1
6,25,14,1,0,42.85,4,bowled,2,v Sri Lanka,Ahmedabad,1,1
34,70,43,7,0,79.06,4,lbw,1,v West Indies,Mumbai,1,1
85,178,130,10,1,65.38,5,caught,3,v West Indies,Mumbai,1,1
4,7,4,1,0,100,4,caught,2,v New Zealand,Bangalore,1,1
0*,3,0,0,0,NaN,4,not out,4,v New Zealand,Bangalore,1,1
10,12,11,2,0,90.9,4,caught,2,v Australia,Delhi,1,1
0,6,7,0,0,0,4,bowled,4,v Australia,Delhi,1,1
42,80,64,7,0,65.62,4,caught,1,v South Africa,Ahmedabad,1,1
7,43,33,1,0,21.21,4,caught,3,v South Africa,Ahmedabad,1,1
61,211,173,4,1,35.26,4,caught,1,v South Africa,Kanpur,1,1
36,129,98,4,0,36.73,5,caught,3,v South Africa,Kanpur,1,1
4,7,5,1,0,80,4,caught,1,v Australia,Chennai,1,1
155*,286,191,14,4,81.15,4,not out,3,v Australia,Chennai,1,1
79,109,86,12,2,91.86,4,caught,2,v Australia,Kolkata,1,1
6,13,11,1,0,54.54,4,lbw,1,v Pakistan,Delhi,1,1
29,99,65,4,0,44.61,4,caught,3,v Pakistan,Delhi,1,1
15,76,54,3,0,27.77,4,caught,2,v New Zealand,Kanpur,1,1
44*,58,39,8,0,112.82,4,not out,4,v New Zealand,Kanpur,1,1
122,283,233,19,0,52.36,4,caught,2,v Zimbabwe,Delhi,1,1
